Ability to Multitask
Able to Work Independently
Active Directory
Administration
Agile
Application Support
Applied Research
Architectural
Attention to Detail
Audio Visual Support
AutoCAD
Budgeting 
budgets
Business Continuity
CCNA
Civil Engineering
Commissioning
Communication
Communication Skills
compliance
Computer Hardware Troubleshooting
Computer/Technical literacy
Construction
Construction Drawings
Critical Thinking
CRM
Customer Satisfaction
Customer Service Skills
Data Analysis
Data Collection
Data Entry
Docker
Drawing
Electrical
Electrical Engineering
Excel
Excellent
Firewalls
Higher Education Research
Human Resource
ICT Support
Information Technology
Infrastructure Support
Inventory
IT Procurement
ITIL
Java
JavaScript
Leadership
Licensing
Management skills
Microsoft Azure
Microsoft Office
Microsoft Operating Systems
MS Office
Office software
Operating Systems
PMP
PowerPoint
Pressure
Procurement
Project Delivery
project management
Project Planning
Publishing
Recruiting
Research Projects
Revenue Management
Risk Management
Sales Operations
Scheduling
Service Desk
Service Management
Software Development
Software Engineering
SQL
strategy
Team Building
Team Player
Technical Support
Telephony
Ticketing
Timber
Time Management
Troubleshooting
Usability
Vmware Infrastructure
VPN
Web Service
Windows
Windows 10
Windows Server
workplace safety
Workplace safety and Heath
WSUS
